order_id,order_date,order_time,total_amount,tax,payment_method,order_type,order_status,day_type
O000073,2025-11-19,20:56,296.4,36.4,card,TAKEAWAY,Completed,weekday
O000074,2025-11-19,22:28,285.0,35.0,CASH,TAKEAWAY,Completed,weekday
O000075,2025-11-19,12:10,319.2,39.2,CASH,TAKEAWAY,Completed,weekday
O000076,2025-11-19,11:41,501.6,61.6,,Dine in,Completed,weekday
O000077,2025-11-19,15:20,353.4,43.4,CASH,TAKEAWAY,Completed,weekday
O000078,2025-11-19,18:57,136.8,16.8,,Dine in,Completed,weekday
O000079,2025-11-20,18:38,1390.8,170.8,card,TAKEAWAY,Completed,Weekend
O000080,2025-11-20,19:12,615.6,75.6,card,TAKEAWAY,Completed,Weekend
O000081,2025-11-20,21:16,900.6,110.6,CASH,TAKEAWAY,Completed,Weekend
O000082,2025-11-20,22:30,609.9,74.9,card,Dine in,Completed,Weekend
O000083,2025-11-20,20:43,615.6,75.6,card,Dine in,Completed,Weekend
O000084,2025-11-20,23:03,513.0,63.0,CASH,Dine in,Completed,Weekend
O000085,2025-11-20,22:47,638.4,78.4,CASH,Dine in,Completed,Weekend
O000086,2025-11-20,20:50,934.8,114.8,CASH,TAKEAWAY,Completed,Weekend
O000087,2025-11-20,19:47,627.0,77.0,card,Dine in,Completed,Weekend
O000088,2025-11-20,21:59,837.9,102.9,CASH,Dine in,Completed,Weekend
O000089,2025-11-20,19:05,490.2,60.2,CASH,Dine in,Completed,Weekend
O000090,2025-11-20,23:35,832.2,102.2,CASH,TAKEAWAY,Completed,Weekend
O000091,2025-11-20,21:52,741.0,91.0,CASH,Dine in,Completed,Weekend
O000092,2025-11-20,22:15,627.0,77.0,CASH,Dine in,Completed,Weekend
O000093,2025-11-20,23:58,547.2,67.2,card,,Completed,Weekend
O000094,2025-11-20,20:55,649.8,79.8,card,Dine in,Completed,Weekend
O000095,2025-11-20,19:33,775.2,95.2,CASH,TAKEAWAY,Completed,Weekend
O000096,2025-11-20,19:33,649.8,79.8,CASH,TAKEAWAY,Completed,Weekend
O000097,2025-11-20,19:19,672.6,82.6,CASH,Dine in,Completed,Weekend
O000098,2025-11-20,19:41,912.0,112.0,card,Dine in,Completed,Weekend
O000099,2025-11-20,20:36,444.6,54.6,card,,Completed,Weekend
O000100,2025-11-20,22:53,558.6,68.6,card,Dine in,Completed,Weekend
O000101,2025-11-20,18:01,860.7,105.7,card,TAKEAWAY,Completed,Weekend
O000102,2025-11-20,22:19,513.0,63.0,card,TAKEAWAY,Completed,Weekend
O000103,2025-11-20,20:03,752.4,92.4,card,,Completed,Weekend
O000104,2025-11-20,22:56,421.8,51.8,,TAKEAWAY,Completed,Weekend
O000105,2025-11-20,20:09,741.0,91.0,CASH,Dine in,Completed,Weekend
O000106,2025-11-20,23:23,501.6,61.6,card,TAKEAWAY,Completed,Weekend
O000107,2025-11-20,19:18,524.4,64.4,card,,Completed,Weekend
O000108,2025-11-20,21:55,695.4,85.4,card,Dine in,Completed,Weekend
O000109,2025-11-20,18:14,444.6,54.6,card,TAKEAWAY,Completed,Weekend
O000110,2025-11-20,19:38,433.2,53.2,CASH,Dine in,Completed,Weekend
O000111,2025-11-20,21:55,775.2,95.2,CASH,Dine in,Completed,Weekend
O000112,2025-11-20,18:15,843.6,103.6,CASH,Dine in,Completed,Weekend
O000113,2025-11-20,21:33,741.0,91.0,card,Dine in,Completed,Weekend
O000114,2025-11-20,20:38,701.1,86.1,CASH,TAKEAWAY,Completed,Weekend
O000115,2025-11-20,18:45,877.8,107.8,CASH,TAKEAWAY,Completed,Weekend
O000116,2025-11-20,19:05,581.4,71.4,card,Dine in,Completed,Weekend
O000117,2025-11-20,18:31,364.8,44.8,CASH,Dine in,Completed,Weekend
O000118,2025-11-20,22:54,1265.4,155.4,CASH,TAKEAWAY,Completed,Weekend
O000119,2025-11-20,22:17,552.9,67.9,CASH,TAKEAWAY,Completed,Weekend
O000120,2025-11-20,19:18,444.6,54.6,CASH,TAKEAWAY,Completed,Weekend
O000121,2025-11-20,20:27,752.4,92.4,CASH,Dine in,Completed,Weekend
O000122,2025-11-20,18:16,336.3,41.3,CASH,TAKEAWAY,Completed,Weekend
O000123,2025-11-20,18:08,974.7,119.7,CASH,Dine in,Completed,Weekend
O000124,2025-11-20,19:34,239.4,29.4,CASH,TAKEAWAY,Completed,Weekend
O000125,2025-11-20,21:00,929.1,114.1,CASH,Dine in,Completed,Weekend
O000126,2025-11-20,19:05,182.4,22.4,CASH,Dine in,Completed,Weekend
O000127,2025-11-20,18:54,752.4,92.4,CASH,Dine in,Completed,Weekend
O000128,2025-11-20,22:23,826.5,101.5,,Dine in,Completed,Weekend
O000129,2025-11-20,20:15,495.9,60.9,,TAKEAWAY,Completed,Weekend
O000130,2025-11-20,20:14,513.0,63.0,card,Dine in,Completed,Weekend
O000131,2025-11-20,18:36,564.3,69.3,card,Dine in,Completed,Weekend
O000132,2025-11-20,20:26,883.5,108.5,CASH,TAKEAWAY,Completed,Weekend
O000133,2025-11-20,21:55,957.6,117.6,card,Dine in,Completed,Weekend
O000134,2025-11-20,21:00,604.2,74.2,card,TAKEAWAY,Completed,Weekend
O000135,2025-11-20,18:20,444.6,54.6,card,Dine in,Completed,Weekend
O000136,2025-11-20,18:00,855.0,105.0,CASH,Dine in,Completed,Weekend
O000137,2025-11-20,22:34,427.5,52.5,CASH,Dine in,Completed,Weekend
O000138,2025-11-20,23:19,963.3,118.3,CASH,TAKEAWAY,Completed,Weekend
O000139,2025-11-20,21:14,689.7,84.7,card,Dine in,Completed,Weekend
O000140,2025-11-20,21:55,889.2,109.2,card,TAKEAWAY,Completed,Weekend
O000141,2025-11-20,22:53,689.7,84.7,,TAKEAWAY,Completed,Weekend
O000142,2025-11-20,22:49,467.4,57.4,CASH,Dine in,Completed,Weekend
O000143,2025-11-20,18:02,655.5,80.5,,,Completed,Weekend
O000144,2025-11-20,20:47,342.0,42.0,CASH,TAKEAWAY,Completed,Weekend
O000145,2025-11-20,22:23,524.4,64.4,CASH,TAKEAWAY,Completed,Weekend
O000146,2025-11-20,23:05,826.5,101.5,CASH,TAKEAWAY,Completed,Weekend
O000147,2025-11-20,18:14,718.2,88.2,card,TAKEAWAY,Completed,Weekend
O000148,2025-11-20,20:37,649.8,79.8,card,Dine in,Completed,Weekend
O000149,2025-11-20,19:54,342.0,42.0,CASH,Dine in,Completed,Weekend
O000150,2025-11-20,18:46,604.2,74.2,CASH,TAKEAWAY,Completed,Weekend
O000151,2025-11-20,22:48,1174.2,144.2,CASH,Dine in,Completed,Weekend
O000152,2025-11-20,20:49,986.1,121.1,card,Dine in,Completed,Weekend
O000153,2025-11-20,23:02,872.1,107.1,CASH,TAKEAWAY,Completed,Weekend
O000154,2025-11-20,22:08,661.2,81.2,CASH,Dine in,Completed,Weekend
O000155,2025-11-20,20:19,484.5,59.5,card,TAKEAWAY,Completed,Weekend
O000156,2025-11-20,22:45,490.2,60.2,CASH,,Completed,Weekend
O000157,2025-11-20,23:48,581.4,71.4,,TAKEAWAY,Completed,Weekend
O000158,2025-11-20,20:34,832.2,102.2,CASH,Dine in,Completed,Weekend
O000159,2025-11-20,23:21,324.9,39.9,CASH,TAKEAWAY,Completed,Weekend
O000160,2025-11-20,19:30,592.8,72.8,card,Dine in,Completed,Weekend
O000161,2025-11-20,19:18,1208.4,148.4,CASH,Dine in,Completed,Weekend
O000162,2025-11-20,21:47,387.6,47.6,card,TAKEAWAY,Completed,Weekend
O000163,2025-11-20,19:51,638.4,78.4,card,TAKEAWAY,Completed,Weekend
O000164,2025-11-20,18:07,307.8,37.8,card,Dine in,Completed,Weekend
O000165,2025-11-20,18:29,513.0,63.0,card,Dine in,Completed,Weekend
O000166,2025-11-20,20:24,581.4,71.4,card,Dine in,Completed,Weekend
O000167,2025-11-20,19:06,1254.0,154.0,CASH,Dine in,Completed,Weekend
O000168,2025-11-20,23:53,809.4,99.4,CASH,TAKEAWAY,Completed,Weekend
O000169,2025-11-20,22:23,535.8,65.8,card,TAKEAWAY,Completed,Weekend
O000170,2025-11-20,19:26,889.2,109.2,CASH,TAKEAWAY,Completed,Weekend
O000171,2025-11-20,21:04,798.0,98.0,CASH,,Completed,Weekend
O000172,2025-11-20,23:31,524.4,64.4,card,Dine in,Completed,Weekend
O000173,2025-11-20,20:00,843.6,103.6,,Dine in,Completed,Weekend
O000174,2025-11-20,21:22,530.1,65.1,CASH,TAKEAWAY,Completed,Weekend
O000175,2025-11-20,18:11,456.0,56.0,,Dine in,Completed,Weekend
O000176,2025-11-20,21:12,581.4,71.4,card,TAKEAWAY,Completed,Weekend
O000177,2025-11-20,22:24,649.8,79.8,card,TAKEAWAY,Completed,Weekend
O000178,2025-11-20,18:36,763.8,93.8,CASH,Dine in,Completed,Weekend
O000179,2025-11-20,19:05,951.9,116.9,card,TAKEAWAY,Completed,Weekend
O000180,2025-11-21,23:16,1516.2,186.2,card,Dine in,Completed,Weekend
O000181,2025-11-21,19:32,627.0,77.0,card,Dine in,Completed,Weekend
O000182,2025-11-21,20:25,1111.5,136.5,CASH,TAKEAWAY,Completed,Weekend
O000183,2025-11-21,22:13,564.3,69.3,card,Dine in,Completed,Weekend
O000184,2025-11-21,20:21,1071.6,131.6,card,Dine in,Completed,Weekend
O000185,2025-11-21,21:05,900.6,110.6,CASH,Dine in,Completed,Weekend
O000186,2025-11-21,22:56,598.5,73.5,CASH,,Completed,Weekend
O000187,2025-11-21,20:27,307.8,37.8,CASH,,Completed,Weekend
O000188,2025-11-21,22:56,513.0,63.0,CASH,TAKEAWAY,Completed,Weekend
O000189,2025-11-21,21:55,1265.4,155.4,,Dine in,Completed,Weekend
O000190,2025-11-21,20:10,444.6,54.6,card,Dine in,Completed,Weekend
O000191,2025-11-21,19:43,701.1,86.1,CASH,Dine in,Completed,Weekend
O000192,2025-11-21,22:40,900.6,110.6,CASH,Dine in,Completed,Weekend
O000193,2025-11-21,20:39,330.6,40.6,CASH,Dine in,Completed,Weekend
O000194,2025-11-21,20:10,279.3,34.3,CASH,TAKEAWAY,Completed,Weekend
O000195,2025-11-21,18:48,843.6,103.6,CASH,Dine in,Completed,Weekend
O000196,2025-11-21,22:50,1168.5,143.5,card,TAKEAWAY,Completed,Weekend
O000197,2025-11-21,22:20,307.8,37.8,card,Dine in,Completed,Weekend
O000198,2025-11-21,20:16,330.6,40.6,CASH,Dine in,Completed,Weekend
O000199,2025-11-21,20:46,746.7,91.7,card,TAKEAWAY,Completed,Weekend
O000200,2025-11-21,20:14,929.1,114.1,CASH,TAKEAWAY,Completed,Weekend
O000201,2025-11-21,21:11,1755.6,215.6,card,Dine in,Completed,Weekend
O000202,2025-11-21,21:24,552.9,67.9,CASH,Dine in,Completed,Weekend
O000203,2025-11-21,19:55,666.9,81.9,CASH,TAKEAWAY,Completed,Weekend
O000204,2025-11-21,18:30,581.4,71.4,card,Dine in,Completed,Weekend
O000205,2025-11-21,21:00,364.8,44.8,CASH,Dine in,Completed,Weekend
O000206,2025-11-21,22:04,695.4,85.4,card,,Completed,Weekend
O000207,2025-11-21,19:20,330.6,40.6,CASH,TAKEAWAY,Completed,Weekend
O000208,2025-11-21,22:24,946.2,116.2,CASH,TAKEAWAY,Completed,Weekend
O000209,2025-11-21,19:46,581.4,71.4,CASH,TAKEAWAY,Completed,Weekend
O000210,2025-11-21,20:08,889.2,109.2,CASH,Dine in,Completed,Weekend
O000211,2025-11-21,21:33,661.2,81.2,CASH,Dine in,Completed,Weekend
O000212,2025-11-21,23:31,1254.0,154.0,CASH,TAKEAWAY,Completed,Weekend
O000213,2025-11-21,20:30,1926.6,236.6,CASH,TAKEAWAY,Completed,Weekend
O000214,2025-11-21,20:28,786.6,96.6,card,TAKEAWAY,Completed,Weekend
O000215,2025-11-21,22:34,849.3,104.3,CASH,Dine in,Completed,Weekend
O000216,2025-11-21,23:02,763.8,93.8,card,Dine in,Completed,Weekend
O000217,2025-11-21,19:09,763.8,93.8,card,TAKEAWAY,Completed,Weekend
O000218,2025-11-21,22:40,541.5,66.5,CASH,TAKEAWAY,Completed,Weekend
O000219,2025-11-21,18:21,969.0,119.0,CASH,Dine in,Completed,Weekend
O000220,2025-11-21,22:39,820.8,100.8,CASH,,Completed,Weekend
O000221,2025-11-21,20:35,421.8,51.8,card,TAKEAWAY,Completed,Weekend
O000222,2025-11-21,22:20,456.0,56.0,card,TAKEAWAY,Completed,Weekend
O000223,2025-11-21,19:18,456.0,56.0,card,TAKEAWAY,Completed,Weekend
O000224,2025-11-21,20:09,769.5,94.5,CASH,Dine in,Completed,Weekend
O000225,2025-11-21,20:05,638.4,78.4,,,Completed,Weekend
O000226,2025-11-21,19:12,718.2,88.2,card,TAKEAWAY,Completed,Weekend
O000227,2025-11-21,21:33,501.6,61.6,CASH,Dine in,Completed,Weekend
O000228,2025-11-21,23:20,929.1,114.1,card,TAKEAWAY,Completed,Weekend
O000229,2025-11-21,18:20,507.3,62.3,card,TAKEAWAY,Completed,Weekend
O000230,2025-11-21,20:31,484.5,59.5,card,Dine in,Completed,Weekend
O000231,2025-11-21,19:51,1014.6,124.6,CASH,Dine in,Completed,Weekend
O000232,2025-11-21,21:11,997.5,122.5,CASH,Dine in,Completed,Weekend
O000233,2025-11-21,22:06,558.6,68.6,CASH,TAKEAWAY,Completed,Weekend
O000234,2025-11-21,21:17,638.4,78.4,CASH,TAKEAWAY,Completed,Weekend
O000235,2025-11-21,21:17,535.8,65.8,CASH,TAKEAWAY,Completed,Weekend
O000236,2025-11-21,18:56,433.2,53.2,CASH,TAKEAWAY,Completed,Weekend
O000237,2025-11-21,20:42,399.0,49.0,card,TAKEAWAY,Completed,Weekend
O000238,2025-11-21,18:09,535.8,65.8,CASH,TAKEAWAY,Completed,Weekend
O000239,2025-11-21,21:31,1014.6,124.6,card,Dine in,Completed,Weekend
O000240,2025-11-21,19:01,587.1,72.1,CASH,TAKEAWAY,Completed,Weekend
O000241,2025-11-21,20:20,433.2,53.2,card,TAKEAWAY,Completed,Weekend
O000242,2025-11-21,20:18,592.8,72.8,CASH,TAKEAWAY,Completed,Weekend
O000243,2025-11-21,23:30,894.9,109.9,card,TAKEAWAY,Completed,Weekend
O000244,2025-11-21,20:07,1014.6,124.6,card,Dine in,Completed,Weekend
O000245,2025-11-21,22:15,689.7,84.7,CASH,Dine in,Completed,Weekend
O000246,2025-11-21,19:23,336.3,41.3,card,Dine in,Completed,Weekend
O000247,2025-11-21,18:55,752.4,92.4,card,Dine in,Completed,Weekend
O000248,2025-11-21,19:00,353.4,43.4,CASH,TAKEAWAY,Completed,Weekend
O000249,2025-11-21,21:47,535.8,65.8,CASH,,Completed,Weekend
O000250,2025-11-21,18:47,758.1,93.1,card,TAKEAWAY,Completed,Weekend
O000251,2025-11-21,20:00,729.6,89.6,CASH,TAKEAWAY,Completed,Weekend
O000252,2025-11-21,19:42,900.6,110.6,card,TAKEAWAY,Completed,Weekend
O000253,2025-11-21,20:46,866.4,106.4,card,Dine in,Completed,Weekend
O000254,2025-11-21,22:35,877.8,107.8,CASH,Dine in,Completed,Weekend
O000255,2025-11-21,22:38,473.1,58.1,,Dine in,Completed,Weekend
O000256,2025-11-21,21:54,792.3,97.3,CASH,TAKEAWAY,Completed,Weekend
O000257,2025-11-21,19:08,478.8,58.8,card,Dine in,Completed,Weekend
O000258,2025-11-21,19:47,250.8,30.8,card,Dine in,Completed,Weekend
O000259,2025-11-21,20:50,376.2,46.2,,,Completed,Weekend
O000260,2025-11-21,18:32,490.2,60.2,CASH,TAKEAWAY,Completed,Weekend
O000261,2025-11-21,19:16,820.8,100.8,CASH,Dine in,Completed,Weekend
O000262,2025-11-21,18:30,433.2,53.2,card,Dine in,Completed,Weekend
O000263,2025-11-21,18:03,604.2,74.2,CASH,TAKEAWAY,Completed,Weekend
O000264,2025-11-21,19:53,706.8,86.8,CASH,Dine in,Completed,Weekend
O000265,2025-11-21,21:04,478.8,58.8,CASH,Dine in,Completed,Weekend
O000266,2025-11-21,22:06,467.4,57.4,CASH,TAKEAWAY,Completed,Weekend
O000267,2025-11-21,20:44,649.8,79.8,,TAKEAWAY,Completed,Weekend
O000268,2025-11-21,20:54,501.6,61.6,card,Dine in,Completed,Weekend
O000269,2025-11-21,18:54,689.7,84.7,card,TAKEAWAY,Completed,Weekend
O000270,2025-11-21,19:11,444.6,54.6,card,TAKEAWAY,Completed,Weekend
O000271,2025-11-21,22:23,701.1,86.1,CASH,Dine in,Completed,Weekend
O000272,2025-11-21,23:01,513.0,63.0,card,TAKEAWAY,Completed,Weekend
O000273,2025-11-21,22:27,991.8,121.8,,TAKEAWAY,Completed,Weekend
O000274,2025-11-21,23:15,410.4,50.4,,TAKEAWAY,Completed,Weekend
O000275,2025-11-21,20:45,684.0,84.0,CASH,TAKEAWAY,Completed,Weekend
O000276,2025-11-21,18:46,638.4,78.4,card,Dine in,Completed,Weekend
O000277,2025-11-21,20:39,735.3,90.3,CASH,TAKEAWAY,Completed,Weekend
O000278,2025-11-21,22:47,467.4,57.4,CASH,Dine in,Completed,Weekend
O000279,2025-11-21,22:58,615.6,75.6,,Dine in,Completed,Weekend
O000280,2025-11-21,20:40,706.8,86.8,card,Dine in,Completed,Weekend
O000281,2025-11-21,18:21,473.1,58.1,card,Dine in,Completed,Weekend
O000282,2025-11-21,21:59,684.0,84.0,CASH,TAKEAWAY,Completed,Weekend
O000283,2025-11-21,19:49,501.6,61.6,CASH,,Completed,Weekend
O000284,2025-11-21,20:53,792.3,97.3,card,TAKEAWAY,Completed,Weekend
O000285,2025-11-21,20:30,718.2,88.2,card,Dine in,Completed,Weekend
O000286,2025-11-21,20:32,666.9,81.9,CASH,Dine in,Completed,Weekend
O000287,2025-11-21,21:23,524.4,64.4,CASH,Dine in,Completed,Weekend
O000288,2025-11-21,22:30,0.0,0.0,CASH,Dine in,Completed,Weekend
O000289,2025-11-21,22:23,433.2,53.2,CASH,,Completed,Weekend
O000290,2025-11-21,22:40,609.9,74.9,card,Dine in,Completed,Weekend
O000291,2025-11-21,20:08,587.1,72.1,card,TAKEAWAY,Completed,Weekend
O000292,2025-11-21,23:07,1105.8,135.8,,,Completed,Weekend
O000293,2025-11-22,23:15,478.8,58.8,CASH,Dine in,Completed,Weekend
O000294,2025-11-22,21:00,678.3,83.3,CASH,Dine in,Completed,Weekend
O000295,2025-11-22,22:49,342.0,42.0,CASH,Dine in,Completed,Weekend
O000296,2025-11-22,20:50,1288.2,158.2,CASH,Dine in,Completed,Weekend
O000297,2025-11-22,22:17,501.6,61.6,card,TAKEAWAY,Completed,Weekend
O000298,2025-11-22,20:10,1060.2,130.2,CASH,TAKEAWAY,Completed,Weekend
O000299,2025-11-22,20:03,501.6,61.6,CASH,TAKEAWAY,Completed,Weekend
O000300,2025-11-22,21:48,969.0,119.0,CASH,Dine in,Completed,Weekend
O000301,2025-11-22,23:59,621.3,76.3,CASH,Dine in,Completed,Weekend
O000302,2025-11-22,18:33,1083.0,133.0,card,Dine in,Completed,Weekend
O000303,2025-11-22,20:59,490.2,60.2,CASH,Dine in,Completed,Weekend
O000304,2025-11-22,21:07,627.0,77.0,CASH,TAKEAWAY,Completed,Weekend
O000305,2025-11-22,18:40,729.6,89.6,CASH,TAKEAWAY,Completed,Weekend
O000306,2025-11-22,20:29,547.2,67.2,card,Dine in,Completed,Weekend
O000307,2025-11-22,21:57,678.3,83.3,card,TAKEAWAY,Completed,Weekend
O000308,2025-11-22,20:33,501.6,61.6,card,TAKEAWAY,Completed,Weekend
O000309,2025-11-22,19:00,820.8,100.8,card,Dine in,Completed,Weekend
O000310,2025-11-22,21:47,695.4,85.4,,Dine in,Completed,Weekend
O000311,2025-11-22,23:32,815.1,100.1,CASH,Dine in,Completed,Weekend
O000312,2025-11-22,22:21,307.8,37.8,CASH,Dine in,Completed,Weekend
O000313,2025-11-22,23:37,552.9,67.9,,TAKEAWAY,Completed,Weekend
O000314,2025-11-22,19:14,547.2,67.2,card,TAKEAWAY,Completed,Weekend
O000315,2025-11-22,21:48,672.6,82.6,card,Dine in,Completed,Weekend
O000316,2025-11-22,18:50,980.4,120.4,CASH,Dine in,Completed,Weekend
O000317,2025-11-22,20:22,410.4,50.4,card,,Completed,Weekend
O000318,2025-11-22,22:01,649.8,79.8,CASH,Dine in,Completed,Weekend
O000319,2025-11-22,23:14,279.3,34.3,CASH,TAKEAWAY,Completed,Weekend
O000320,2025-11-22,21:10,729.6,89.6,CASH,,Completed,Weekend
O000321,2025-11-22,20:13,524.4,64.4,CASH,TAKEAWAY,Completed,Weekend
O000322,2025-11-22,21:50,632.7,77.7,card,TAKEAWAY,Completed,Weekend
O000323,2025-11-22,22:32,946.2,116.2,card,,Completed,Weekend
O000324,2025-11-22,23:04,718.2,88.2,CASH,TAKEAWAY,Completed,Weekend
O000325,2025-11-22,21:44,609.9,74.9,CASH,,Completed,Weekend
O000326,2025-11-22,21:07,1191.3,146.3,CASH,Dine in,Completed,Weekend
O000327,2025-11-22,19:38,957.6,117.6,card,TAKEAWAY,Completed,Weekend
O000328,2025-11-22,21:24,615.6,75.6,CASH,TAKEAWAY,Completed,Weekend
O000329,2025-11-22,20:50,906.3,111.3,CASH,,Completed,Weekend
O000330,2025-11-22,20:06,598.5,73.5,card,TAKEAWAY,Completed,Weekend
O000331,2025-11-22,20:56,552.9,67.9,card,,Completed,Weekend
O000332,2025-11-22,18:14,809.4,99.4,CASH,Dine in,Completed,Weekend
O000333,2025-11-22,20:33,558.6,68.6,CASH,,Completed,Weekend
O000334,2025-11-22,22:34,364.8,44.8,card,,Completed,Weekend
O000335,2025-11-22,18:12,495.9,60.9,card,TAKEAWAY,Completed,Weekend
O000336,2025-11-22,20:09,638.4,78.4,,TAKEAWAY,Completed,Weekend
O000337,2025-11-22,18:55,752.4,92.4,,TAKEAWAY,Completed,Weekend
O000338,2025-11-22,18:37,478.8,58.8,CASH,Dine in,Completed,Weekend
